Player,Teams,Balls,Maidens,Runs,Wickets,Avg,Econ,Strike Rate,5's,10's,Catch Taken,Stummping Made
MR Adair,Ireland,72,0,74,3,24.66,6.16,24,0,0,1,0
MR Marsh,Australia,0,0,0,0,0,-,-,0,0,2,0
MRJ Watt,Scotland,72,0,98,3,32.66,8.16,24,0,0,2,0
MS Chapman,New Zealand,0,0,0,0,0,-,-,0,0,0,0
MS Wade,Australia,0,0,0,0,0,-,-,0,0,3,0
Mujeeb Ur Rahman,Afghanistan,18,0,16,1,16,5.33,18,0,0,0,0
Mustafizur Rahman,Bangladesh,156,1,142,8,17.75,5.46,19.5,0,0,1,0
N Davin,Namibia,0,0,0,0,0,-,-,0,0,1,0
N Dutta,Canada,16,0,41,1,41,15.37,16,0,0,0,0
N Pooran,West Indies,0,0,0,0,0,-,-,0,0,8,0
N Thushara,Sri Lanka,64,0,60,8,7.5,5.62,8,0,0,0,0
N Vanua,Papua New Guinea,48,0,43,3,14.33,5.37,16,0,0,0,0
Najibullah Zadran,Afghanistan,0,0,0,0,0,-,-,0,0,1,0
Najmul Hossain Shanto,Bangladesh,0,0,0,0,0,-,-,0,0,4,0
Nangeyalia Kharote,Afghanistan,6,0,13,0,0,13,-,0,0,0,0
Naseem Khushi,Oman,0,0,0,0,0,-,-,0,0,0,0
Naseem Shah,Pakistan,72,0,71,5,14.2,5.91,14.4,0,0,1,1
Naveen-ul-Haq,Afghanistan,160,0,160,13,12.3,6,12.3,0,0,1,0
Noor Ahmad,Afghanistan,102,0,98,1,98,5.76,102,0,0,2,0
NP Kenjige,USA,60,0,89,3,29.66,8.9,20,0,0,0,0
NR Kirton,Canada,0,0,0,0,0,-,-,0,0,0,0
NR Kumar,USA,0,0,0,0,0,-,-,0,0,2,0
NS Dhaliwal,Canada,0,0,0,0,0,-,-,0,0,0,0
NT Ellis,Australia,66,1,74,4,18.5,6.72,16.5,0,0,1,0
OC McCoy,West Indies,37,0,49,3,16.33,7.94,12.3,0,0,0,0
OEG Baartman,South Africa,114,1,94,6,15.66,4.94,19,0,0,1,0
P Nissanka,Sri Lanka,0,0,0,0,0,-,-,0,0,0,0
PA van Meekeren,Netherlands,90,1,84,5,16.8,5.6,18,0,0,0,0
Pargat Singh,Canada,6,0,15,0,0,15,-,0,0,0,0
PD Salt,England,0,0,0,0,0,-,-,0,0,5,0
PHKD Mendis,Sri Lanka,0,0,0,0,0,-,-,0,0,4,0
PJ Cummins,Australia,114,1,144,9,16,7.57,12.6,0,0,1,0
PR Stirling,Ireland,0,0,0,0,0,-,-,0,0,0,0
PS Athavale,Oman,0,0,0,0,0,-,-,0,0,0,0
PW Hasaranga,Sri Lanka,68,0,79,6,13.16,6.97,11.3,0,0,2,0
Q de Kock,South Africa,0,0,0,0,0,-,-,0,0,6,0
R Obuya,Uganda,0,0,0,0,0,-,-,0,0,1,0
R Powell,West Indies,0,0,0,0,0,-,-,0,0,5,0
R Ravindra,New Zealand,18,1,9,2,4.5,3,9,0,0,1,0
R Shepherd,West Indies,60,0,109,2,54.5,10.9,30,0,0,0,0
R Trumpelmann,Namibia,72,0,107,7,15.28,8.91,10.2,0,0,2,0
RA Jadeja,India,84,0,106,1,106,7.57,84,0,0,3,0
Rafiullah,Oman,0,0,0,0,0,-,-,0,0,0,0
Rahmanullah Gurbaz,Afghanistan,0,0,0,0,0,-,-,0,0,6,0
Rashid Khan,Afghanistan,174,0,179,14,12.78,6.17,12.4,0,0,4,0
